"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Occupied","Margin of Error!!Total:!!Occupied","Estimate!!Total:!!Vacant","Margin of Error!!Total:!!Vacant",
"1400000US17031190702","Census Tract 1907.02, Cook County, Illinois","1531","180","1434","197","97","59",
"1400000US17031190800","Census Tract 1908, Cook County, Illinois","2109","202","1917","233","192","81",
"1400000US17031190900","Census Tract 1909, Cook County, Illinois","658","55","620","70","38","39",
"1400000US17031191000","Census Tract 1910, Cook County, Illinois","786","156","746","158","40","33",
"1400000US17031191100","Census Tract 1911, Cook County, Illinois","2092","248","1890","246","202","110",
"1400000US17031191200","Census Tract 1912, Cook County, Illinois","1127","162","1072","165","55","35",
"1400000US17031191301","Census Tract 1913.01, Cook County, Illinois","1747","362","1681","367","66","60",
"1400000US17031191302","Census Tract 1913.02, Cook County, Illinois","1416","133","1262","162","154","90",
"1400000US17031200100","Census Tract 2001, Cook County, Illinois","1382","168","1248","176","134","81",
"1400000US17031200200","Census Tract 2002, Cook County, Illinois","1711","204","1590","195","121","73",
"1400000US17031200300","Census Tract 2003, Cook County, Illinois","709","147","643","151","66","37",
"1400000US17031200401","Census Tract 2004.01, Cook County, Illinois","1003","90","949","93","54","43",
"1400000US17031200402","Census Tract 2004.02, Cook County, Illinois","1346","180","1231","177","115","78",
"1400000US17031210100","Census Tract 2101, Cook County, Illinois","1758","226","1665","222","93","68",
"1400000US17031210400","Census Tract 2104, Cook County, Illinois","976","71","800","76","176","65",
"1400000US17031210501","Census Tract 2105.01, Cook County, Illinois","1593","246","1356","264","237","105",
"1400000US17031210502","Census Tract 2105.02, Cook County, Illinois","1676","169","1487","180","189","71",
"1400000US17031210601","Census Tract 2106.01, Cook County, Illinois","1218","205","1135","203","83","52",
"1400000US17031210602","Census Tract 2106.02, Cook County, Illinois","1686","168","1457","177","229","101",
"1400000US17031210700","Census Tract 2107, Cook County, Illinois","1569","140","1404","161","165","87",
"1400000US17031210800","Census Tract 2108, Cook County, Illinois","442","83","421","84","21","23",
"1400000US17031210900","Census Tract 2109, Cook County, Illinois","1438","179","1336","183","102","67",
"1400000US17031220300","Census Tract 2203, Cook County, Illinois","984","145","898","151","86","57",
"1400000US17031220400","Census Tract 2204, Cook County, Illinois","1260","208","1115","209","145","86",
"1400000US17031220500","Census Tract 2205, Cook County, Illinois","1275","122","1208","134","67","44",
"1400000US17031220601","Census Tract 2206.01, Cook County, Illinois","774","74","712","68","62","39",
"1400000US17031220602","Census Tract 2206.02, Cook County, Illinois","2833","407","2652","411","181","125",
"1400000US17031220701","Census Tract 2207.01, Cook County, Illinois","1191","159","1107","161","84","53",
"1400000US17031220702","Census Tract 2207.02, Cook County, Illinois","1682","218","1573","215","109","62",
"1400000US17031220901","Census Tract 2209.01, Cook County, Illinois","1141","108","1002","117","139","77",
"1400000US17031220902","Census Tract 2209.02, Cook County, Illinois","1097","97","971","102","126","46",
"1400000US17031221000","Census Tract 2210, Cook County, Illinois","1147","136","1069","137","78","39",
"1400000US17031221100","Census Tract 2211, Cook County, Illinois","2180","260","1995","241","185","95",
"1400000US17031221200","Census Tract 2212, Cook County, Illinois","1274","89","1253","95","21","34",
"1400000US17031221300","Census Tract 2213, Cook County, Illinois","1568","227","1446","225","122","77",
"1400000US17031221400","Census Tract 2214, Cook County, Illinois","1641","215","1472","211","169","88",
"1400000US17031221500","Census Tract 2215, Cook County, Illinois","1512","149","1357","150","155","86",
"1400000US17031221600","Census Tract 2216, Cook County, Illinois","1541","128","1395","111","146","89",
"1400000US17031222200","Census Tract 2222, Cook County, Illinois","1014","151","997","152","17","22",
"1400000US17031222500","Census Tract 2225, Cook County, Illinois","602","80","559","77","43","36",
"1400000US17031222600","Census Tract 2226, Cook County, Illinois","801","76","753","77","48","27",
"1400000US17031222700","Census Tract 2227, Cook County, Illinois","872","70","812","71","60","33",
"1400000US17031222800","Census Tract 2228, Cook County, Illinois","441","118","406","121","35","22",
"1400000US17031222900","Census Tract 2229, Cook County, Illinois","404","56","341","65","63","32",
"1400000US17031230100","Census Tract 2301, Cook County, Illinois","693","83","644","78","49","38",
"1400000US17031230200","Census Tract 2302, Cook County, Illinois","711","101","675","99","36","30",
"1400000US17031230300","Census Tract 2303, Cook County, Illinois","321","79","270","71","51","35",
"1400000US17031230400","Census Tract 2304, Cook County, Illinois","786","103","732","106","54","38",
"1400000US17031230500","Census Tract 2305, Cook County, Illinois","1320","265","1181","275","139","74",
"1400000US17031230600","Census Tract 2306, Cook County, Illinois","2091","218","1926","217","165","77",
"1400000US17031230700","Census Tract 2307, Cook County, Illinois","2032","323","1881","339","151","72",
"1400000US17031230800","Census Tract 2308, Cook County, Illinois","351","44","304","54","47","32",
"1400000US17031230900","Census Tract 2309, Cook County, Illinois","2081","209","1796","227","285","90",
"1400000US17031231100","Census Tract 2311, Cook County, Illinois","403","70","385","71","18","19",
