"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US17031081000","Census Tract 810, Cook County, Illinois","429100","58260",
"1400000US17031081100","Census Tract 811, Cook County, Illinois","410400","79050",
"1400000US17031081201","Census Tract 812.01, Cook County, Illinois","772900","220910",
"1400000US17031081202","Census Tract 812.02, Cook County, Illinois","840700","299339",
"1400000US17031081300","Census Tract 813, Cook County, Illinois","364300","85182",
"1400000US17031081401","Census Tract 814.01, Cook County, Illinois","532800","200045",
"1400000US17031081402","Census Tract 814.02, Cook County, Illinois","536600","89691",
"1400000US17031081403","Census Tract 814.03, Cook County, Illinois","693700","227978",
"1400000US17031081500","Census Tract 815, Cook County, Illinois","-","**",
"1400000US17031081600","Census Tract 816, Cook County, Illinois","390100","65836",
"1400000US17031081700","Census Tract 817, Cook County, Illinois","371500","23713",
"1400000US17031081800","Census Tract 818, Cook County, Illinois","473200","26478",
"1400000US17031081900","Census Tract 819, Cook County, Illinois","459800","226631",
"1400000US17031090100","Census Tract 901, Cook County, Illinois","371100","22295",
"1400000US17031090200","Census Tract 902, Cook County, Illinois","418300","35782",
"1400000US17031090300","Census Tract 903, Cook County, Illinois","399700","31231",
"1400000US17031100100","Census Tract 1001, Cook County, Illinois","393900","32981",
"1400000US17031100200","Census Tract 1002, Cook County, Illinois","331100","22293",
"1400000US17031100300","Census Tract 1003, Cook County, Illinois","392300","24573",
"1400000US17031100400","Census Tract 1004, Cook County, Illinois","345600","11045",
"1400000US17031100500","Census Tract 1005, Cook County, Illinois","301900","30042",
"1400000US17031100600","Census Tract 1006, Cook County, Illinois","321000","12327",
"1400000US17031100700","Census Tract 1007, Cook County, Illinois","329700","12343",
"1400000US17031110100","Census Tract 1101, Cook County, Illinois","357700","41704",
"1400000US17031110200","Census Tract 1102, Cook County, Illinois","281100","36215",
"1400000US17031110300","Census Tract 1103, Cook County, Illinois","304400","16297",
"1400000US17031110400","Census Tract 1104, Cook County, Illinois","334200","15160",
"1400000US17031110501","Census Tract 1105.01, Cook County, Illinois","311900","20312",
"1400000US17031110502","Census Tract 1105.02, Cook County, Illinois","263400","27476",
"1400000US17031120100","Census Tract 1201, Cook County, Illinois","484400","23231",
"1400000US17031120200","Census Tract 1202, Cook County, Illinois","510900","35769",
"1400000US17031120300","Census Tract 1203, Cook County, Illinois","466500","28428",
"1400000US17031120400","Census Tract 1204, Cook County, Illinois","367000","17724",
"1400000US17031130100","Census Tract 1301, Cook County, Illinois","376100","24652",
"1400000US17031130200","Census Tract 1302, Cook County, Illinois","285100","15104",
"1400000US17031130300","Census Tract 1303, Cook County, Illinois","371800","33987",
"1400000US17031140100","Census Tract 1401, Cook County, Illinois","283700","73349",
"1400000US17031140200","Census Tract 1402, Cook County, Illinois","222500","22785",
"1400000US17031140301","Census Tract 1403.01, Cook County, Illinois","288100","48893",
"1400000US17031140302","Census Tract 1403.02, Cook County, Illinois","286600","28882",
"1400000US17031140400","Census Tract 1404, Cook County, Illinois","315600","31628",
"1400000US17031140500","Census Tract 1405, Cook County, Illinois","306800","33336",
"1400000US17031140601","Census Tract 1406.01, Cook County, Illinois","369000","19034",
"1400000US17031140602","Census Tract 1406.02, Cook County, Illinois","274400","34507",
"1400000US17031140701","Census Tract 1407.01, Cook County, Illinois","295000","37321",
"1400000US17031140702","Census Tract 1407.02, Cook County, Illinois","314100","68555",
"1400000US17031140800","Census Tract 1408, Cook County, Illinois","558900","48908",
"1400000US17031150200","Census Tract 1502, Cook County, Illinois","347800","19377",
"1400000US17031150300","Census Tract 1503, Cook County, Illinois","317400","20410",
